# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jul 31 13:05:25 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN sy_snum:        Number of Stars
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
#
pl_name,sy_snum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim
2MASS J01033563-5515561 AB b,2,84.000000,,,0,12.300,,,0,4131.79000,317.83000,-317.83000,0,,,,,,,,,0.19,0.02,-0.02,0,,,,
2MASS J01225093-2439505 b,1,52.000000,6.000000,-6.000000,0,11.209,,,0,7786.50000,794.50000,-794.50000,0,,,,,0.37,0.01,-0.01,0,0.40,0.05,-0.05,0,,,,
2MASS J02192210-3925225 b,1,156.000000,10.000000,-10.000000,0,16.141,0.336,-0.336,0,4417.83700,349.61300,-349.61300,0,,,,,0.28,0.01,-0.01,0,0.11,0.01,-0.01,0,,,,
2MASS J04414489+2301513 b,1,15.000000,,,0,12.600,,,0,2383.60000,794.50000,-794.50000,0,,,,,0.23,0.01,-0.01,0,0.02,,,0,,,,
2MASS J12073346-3932539 b,1,55.000000,,,0,12.900,,,0,1589.15000,635.66000,-635.66000,0,,,,,0.22,0.01,-0.01,0,0.02,,,0,,,,
2MASS J19383260+4603591 b,2,0.920000,0.020000,-0.020000,0,13.400,,,0,603.87700,31.78300,-31.78300,0,0.330000,0.050000,-0.050000,0,0.20,0.00,0.00,0,0.48,,,0,-0.092,,,0
2MASS J21402931+1625183 A b,1,,,,,10.310,4.370,-4.040,0,6657.48000,26629.91000,-6657.48000,0,0.260000,0.060000,-0.060000,0,0.12,0.05,-0.04,0,0.08,0.06,-0.06,0,,,,
2MASS J22362452+4751425 b,1,230.000000,20.000000,-20.000000,0,12.300,,,0,3972.87500,476.74500,-476.74500,0,,,,,0.64,0.06,-0.06,0,0.60,0.05,-0.05,0,,,,
30 Ari B b,4,0.990000,0.020000,-0.020000,0,12.300,,,0,4392.41060,572.09400,-572.09400,0,0.290000,0.090000,-0.090000,0,1.41,0.05,-0.05,0,1.93,0.27,-0.27,0,0.190,,,0
4 UMa b,1,0.870000,0.040000,-0.040000,0,12.700,,,0,2256.50000,508.50000,-508.50000,0,0.432000,0.024000,-0.024000,0,18.11,1.47,-1.47,0,1.23,0.15,-0.15,0,-0.250,0.040,-0.040,0
42 Dra b,2,1.190000,0.010000,-0.010000,0,13.000,,,0,1233.13000,270.14000,-270.14000,0,0.380000,0.060000,-0.060000,0,22.03,1.00,-1.00,0,0.98,0.05,-0.05,0,-0.460,0.050,-0.050,0
47 UMa b,1,2.100000,0.020000,-0.020000,0,13.200,,,0,804.08000,22.25000,-19.07000,0,0.032000,0.014000,-0.014000,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,0.040,0.100,-0.100,0
47 UMa c,1,3.600000,0.100000,-0.100000,0,14.200,,,0,171.62100,20.97600,-23.20100,0,0.098000,0.047000,-0.096000,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,0.040,0.100,-0.100,0
47 UMa d,1,11.600000,2.100000,-2.900000,0,13.500,,,0,521.22000,92.17000,-152.55000,0,0.160000,0.090000,-0.160000,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,0.040,0.100,-0.100,0
51 Eri b,3,13.200000,0.200000,-0.200000,0,13.400,,,0,635.66000,,,0,0.450000,0.100000,-0.150000,0,1.49,0.05,-0.06,0,1.75,0.05,-0.05,0,-0.027,0.045,-0.045,0
51 Peg b,1,0.052700,0.003000,-0.003000,0,14.300,,,0,146.20180,19.06980,-3.17830,0,0.013000,0.012000,-0.012000,0,1.18,0.07,-0.04,0,1.03,0.17,-0.09,0,0.180,0.100,-0.100,0
55 Cnc b,2,0.113400,0.000600,-0.000600,0,13.900,,,0,263.97850,1.04880,-1.04880,0,0.000000,0.010000,-0.010000,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,0.350,0.100,-0.100,0
55 Cnc c,2,0.237300,0.001300,-0.001300,0,8.510,,,0,54.47380,1.74800,-1.74800,0,0.030000,0.020000,-0.020000,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,0.350,0.100,-0.100,0
55 Cnc d,2,5.957000,0.074000,-0.071000,0,13.000,,,0,1232.49300,21.61200,-21.61200,0,0.130000,0.020000,-0.020000,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,0.350,0.100,-0.100,0
55 Cnc e,2,0.015440,0.000050,-0.000050,0,1.875,0.029,-0.029,0,7.99000,0.32000,-0.33000,0,0.050000,0.030000,-0.030000,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,0.350,0.100,-0.100,0
55 Cnc f,2,0.770800,0.004300,-0.004400,0,7.590,,,0,44.81200,3.81400,-3.81400,0,0.080000,0.050000,-0.040000,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,0.350,0.100,-0.100,0
6 Lyn b,1,2.110000,0.110000,-0.110000,0,13.400,,,0,638.83830,24.47291,-24.47291,0,0.073000,0.036000,-0.036000,0,5.20,,,0,1.44,,,0,-0.130,0.020,-0.020,0
61 Vir b,1,0.050201,0.000005,-0.000005,0,2.110,,,0,5.10000,0.50000,-0.50000,0,0.120000,0.110000,-0.110000,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,-0.010,,,0
61 Vir c,1,0.217500,0.000100,-0.000100,0,4.460,,,0,18.20000,1.10000,-1.10000,0,0.140000,0.060000,-0.060000,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,-0.010,,,0
61 Vir d,1,0.476000,0.001000,-0.001000,0,5.110,,,0,22.90000,2.60000,-2.60000,0,0.350000,0.090000,-0.090000,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,-0.010,,,0
7 CMa b,1,1.758000,0.024000,-0.001000,0,13.400,,,0,587.98550,19.06980,-19.06980,0,0.060000,0.030000,-0.030000,0,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0,0.210,0.100,-0.100,0
7 CMa c,1,2.153000,0.003000,-0.080000,0,13.900,,,0,276.51210,19.06980,-19.06980,0,0.080000,0.050000,-0.040000,0,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0,0.210,0.100,-0.100,0
70 Vir b,1,0.481000,0.022000,-0.022000,0,12.600,,,0,2380.45000,193.87000,-193.87000,0,0.398800,0.001900,-0.001900,0,1.89,,,0,1.09,,,0,-0.090,0.030,-0.030,0
75 Cet b,2,2.100000,,,0,13.100,,,0,953.49000,,,0,0.117000,0.048000,-0.048000,0,10.50,1.00,-1.00,0,2.49,0.02,-0.27,0,0.000,0.040,-0.040,0
8 UMi b,1,0.490000,0.020000,-0.020000,0,13.600,,,0,416.35730,50.85280,-50.85280,0,0.060000,0.090000,-0.090000,0,10.30,0.57,-0.57,0,1.44,0.19,-0.19,0,-0.030,,,0
81 Cet b,1,2.500000,,,0,12.800,,,0,1684.40000,,,0,0.206000,0.029000,-0.029000,0,11.00,2.00,-1.00,0,2.40,0.10,-0.40,0,-0.060,0.030,-0.030,0
91 Aqr b,3,0.700000,,,0,13.100,,,0,1017.00000,,,0,0.027000,0.026000,-0.026000,0,11.00,0.10,-0.10,0,1.40,0.10,-0.10,0,-0.030,0.100,-0.100,0
AB Aur b,1,93.900000,49.300000,-49.300000,0,12.500,,,0,2860.45566,,,0,0.400000,0.200000,-0.210000,0,2.96,0.10,-0.07,0,2.40,0.20,-0.20,0,,,,
AB Pic b,1,260.000000,,,0,12.300,,,0,4290.50000,158.90000,-158.90000,0,,,,,1.00,0.03,-0.02,0,0.90,0.10,-0.10,0,0.040,0.020,-0.020,0
AU Mic b,1,0.064500,0.001300,-0.001300,0,4.070,0.170,-0.170,0,20.12000,1.57000,-1.72000,0,0.186000,0.036000,-0.035000,0,0.75,0.03,-0.03,0,0.50,0.03,-0.03,0,,,,
AU Mic c,1,0.110100,0.002000,-0.002000,0,3.240,0.160,-0.160,0,9.60000,2.07000,-2.31000,0,0.041000,0.047000,-0.026000,0,0.75,0.03,-0.03,0,0.50,0.03,-0.03,0,,,,
BD+03 2562 b,1,1.300000,0.100000,-0.100000,0,12.700,,,0,2034.11200,413.17900,-413.17900,0,0.200000,0.120000,-0.080000,0,32.35,8.82,-8.82,0,1.14,0.25,-0.25,0,-0.710,0.090,-0.090,0
BD+14 4559 b,1,0.780000,0.050000,-0.050000,0,13.800,,,0,330.54320,149.38010,-149.38010,0,0.290000,0.030000,-0.030000,0,0.86,0.04,-0.04,0,0.49,0.33,-0.33,0,0.170,,,0
BD+15 2375 b,1,0.576000,0.027000,-0.027000,0,13.800,,,0,337.21763,85.81410,-85.81410,0,0.001000,0.250000,-0.001000,0,8.95,1.45,-1.45,0,1.08,0.14,-0.14,0,-0.220,0.080,-0.080,0
BD+15 2940 b,1,0.539000,,,0,13.700,,,0,352.78000,,,0,0.260000,0.100000,-0.100000,0,14.70,2.80,-2.80,0,1.10,0.20,-0.20,0,0.280,0.070,-0.070,0
BD+20 2457 b,1,1.050000,0.070000,-0.070000,0,11.600,,,0,17668.16970,24965.54650,-24965.54650,0,0.150000,0.030000,-0.030000,0,71.02,73.63,-73.63,0,10.83,22.96,-22.96,0,-0.790,,,0
BD+20 2457 c,1,2.010000,,,0,12.400,,,0,3963.17000,,,0,0.180000,0.060000,-0.060000,0,49.00,26.00,-26.00,0,2.80,1.50,-1.50,0,-1.000,0.070,-0.070,0
BD+20 274 b,1,1.300000,,,0,13.000,,,0,1334.88600,,,0,0.210000,0.060000,-0.060000,0,17.30,0.90,-0.90,0,0.80,0.20,-0.20,0,-0.460,0.070,-0.070,0
BD+20 594 b,1,0.241000,0.019000,-0.017000,0,2.578,0.112,-0.112,0,22.24810,9.53490,-9.53490,0,0.000000,,,0,1.08,0.06,-0.06,0,1.67,0.40,-0.40,0,-0.150,,,0
BD+45 564 b,1,0.830000,0.040000,-0.040000,0,13.600,,,0,432.24663,38.13941,-38.13941,0,0.120000,0.060000,-0.060000,0,0.81,0.04,-0.04,0,0.81,0.07,-0.07,0,-0.090,0.030,-0.030,0
BD+48 738 b,1,1.000000,,,0,13.900,,,0,289.22530,,,0,0.200000,0.100000,-0.100000,0,11.00,1.00,-1.00,0,0.74,0.39,-0.39,0,-0.200,0.070,-0.070,0
BD+48 740 b,1,1.700000,0.100000,-0.100000,0,13.500,,,0,540.31100,222.48100,-222.48100,0,0.760000,0.050000,-0.090000,0,10.33,1.81,-1.81,0,1.09,0.16,-0.16,0,-0.130,0.060,-0.060,0
BD+49 828 b,1,4.200000,0.320000,-0.200000,0,13.500,,,0,508.50000,127.10000,-63.60000,0,0.350000,0.240000,-0.100000,0,7.60,1.30,-1.30,0,1.52,0.22,-0.22,0,-0.190,0.060,-0.060,0
BD+55 362 b,1,0.780000,0.050000,-0.050000,0,14.000,,,0,228.83645,25.42627,-25.42627,0,0.270000,0.060000,-0.060000,0,0.90,0.06,-0.04,0,0.91,0.10,-0.10,0,0.180,0.050,-0.050,0
BD+60 1417 b,1,1662.000000,,,0,14.684,0.673,-0.673,0,4767.42610,1589.14204,-1589.14204,0,,,,,0.80,0.05,-0.05,0,1.00,,,0,,,,
BD+63 1405 b,1,2.060000,0.140000,-0.140000,0,13.000,,,0,1258.60049,98.52681,-98.52681,0,0.880000,0.020000,-0.020000,0,0.80,0.04,-0.06,0,0.82,0.08,-0.08,0,-0.090,0.030,-0.030,0
BD-00 4475 b,1,1.480000,0.110000,-0.110000,0,12.000,,,0,7961.60160,708.75735,-708.75735,0,0.390000,0.010000,-0.010000,0,0.84,0.04,-0.04,0,0.81,0.10,-0.10,0,-0.140,0.060,-0.060,0
BD-06 1339 b,1,0.042800,0.000700,-0.000700,0,2.850,,,0,8.50000,1.30000,-1.30000,0,0.000000,,,0,0.69,0.06,-0.07,0,0.70,,,0,-0.140,0.170,-0.170,0
BD-06 1339 c,1,0.435000,0.007000,-0.007000,0,8.380,,,0,53.00000,8.00000,-8.00000,0,0.310000,0.110000,-0.110000,0,0.69,0.06,-0.07,0,0.70,,,0,-0.140,0.170,-0.170,0
BD-08 2823 b,1,0.060000,0.000000,0.000000,0,3.610,,,0,12.71320,3.17830,-3.17830,0,0.150000,0.150000,-0.150000,0,0.71,0.04,-0.04,0,0.50,0.26,-0.26,0,-0.060,,,0
BD-08 2823 c,1,0.680000,0.020000,-0.020000,0,12.500,,,0,104.00000,10.00000,-10.00000,0,0.190000,0.090000,-0.090000,0,0.72,0.02,-0.02,0,0.74,0.07,-0.07,0,-0.070,0.030,-0.030,0
BD-10 3166 b,1,0.040000,0.000000,0.000000,0,14.100,,,0,187.51970,22.24810,-22.24810,0,0.020000,0.020000,-0.020000,0,0.91,0.04,-0.04,0,1.47,0.24,-0.24,0,0.380,,,0
BD-11 4672 b,1,2.360000,0.040000,-0.040000,0,14.100,,,0,206.58950,15.89150,-19.06980,0,0.050000,0.050000,-0.030000,0,0.64,0.02,-0.02,0,0.65,0.03,-0.03,0,-0.350,0.150,-0.150,0
BD-11 4672 c,1,0.300000,0.010000,-0.010000,0,4.040,,,0,15.37000,2.97000,-2.81000,0,0.400000,0.130000,-0.150000,0,0.64,0.02,-0.02,0,0.65,0.03,-0.03,0,-0.350,0.150,-0.150,0
BD-13 2130 b,1,1.660000,0.120000,-0.120000,0,12.500,,,0,3108.37740,1449.30480,-1449.30480,0,0.210000,0.070000,-0.070000,0,19.17,4.96,-4.96,0,2.12,1.47,-1.47,0,-0.080,,,0
BD-17 63 b,1,1.340000,0.020000,-0.020000,0,12.800,,,0,1620.90000,38.14000,-38.14000,0,0.540000,0.005000,-0.005000,0,0.69,,,0,0.74,0.03,-0.03,0,-0.030,0.060,-0.060,0
CD Cet b,1,0.018500,0.001300,-0.001300,0,1.820,,,0,3.95000,0.42000,-0.43000,0,,,,,0.17,0.01,-0.01,0,0.16,0.01,-0.01,0,0.130,0.160,-0.160,0
CFBDSIR J145829+101343 b,1,2.600000,0.300000,-0.300000,0,12.400,,,0,3337.10000,1430.20000,-1430.20000,0,,,,,,,,,0.02,0.01,-0.01,0,,,,
CFHTWIR-Oph 98 b,1,200.000000,6.000000,-6.000000,0,20.849,0.560,-0.560,0,2479.06157,222.47988,-254.26273,0,,,,,0.24,0.01,-0.01,0,0.01,0.00,0.00,0,,,,
CHXR 73 b,1,210.000000,,,0,12.300,,,0,3994.48600,2662.99100,-1664.36900,0,,,,,,,,,0.35,,,0,,,,
CI Tau b,1,,,,,12.400,,,0,3686.82800,921.70700,-858.14100,0,0.250000,0.160000,-0.160000,0,1.88,0.09,-0.42,0,0.90,0.02,-0.02,0,,,,
COCONUTS-2 b,1,7506.000000,5205.000000,-2060.000000,0,12.442,0.336,-0.336,0,2002.31896,476.74261,-603.87397,0,,,,,0.39,0.01,-0.01,0,0.37,0.02,-0.02,0,0.000,0.080,-0.080,0
CT Cha b,1,440.000000,,,0,24.660,9.080,-6.730,0,5403.00000,1907.00000,-1907.00000,0,,,,,1.68,0.10,-0.16,0,,,,,-0.560,0.010,-0.010,0
CoRoT-1 b,1,0.027520,0.000220,-0.000230,0,16.700,0.900,-0.900,0,327.35000,38.14000,-38.14000,0,0.000000,,,0,1.11,0.05,-0.05,0,0.95,0.15,-0.15,0,-0.300,0.250,-0.250,0
CoRoT-10 b,1,0.105500,0.002100,-0.002100,0,10.870,0.780,-0.780,0,874.00000,50.85000,-50.85000,0,0.530000,0.040000,-0.040000,0,0.79,0.05,-0.05,0,0.89,0.05,-0.05,0,0.260,0.070,-0.070,0
CoRoT-11 b,1,0.043600,0.005000,-0.005000,0,16.030,0.340,-0.340,0,740.51000,108.06000,-108.06000,0,0.000000,,,0,1.37,0.03,-0.03,0,1.27,0.05,-0.05,0,-0.030,0.080,-0.080,0
CoRoT-12 b,1,0.040160,0.000930,-0.000920,0,16.140,1.460,-1.460,0,291.43800,22.24700,-20.65800,0,0.070000,0.063000,-0.042000,0,1.12,0.10,-0.09,0,1.08,0.08,-0.07,0,0.160,0.100,-0.100,0
CoRoT-13 b,1,0.051000,0.003100,-0.003100,0,9.920,0.157,-0.157,0,415.70400,20.97600,-20.97600,0,0.000000,,,0,1.01,0.03,-0.03,0,1.09,0.02,-0.02,0,0.010,0.070,-0.070,0
CoRoT-14 b,1,0.027000,0.002000,-0.002000,0,12.220,0.780,-0.780,0,2415.40000,190.70000,-190.70000,0,0.000000,,,0,1.21,0.08,-0.08,0,1.13,0.09,-0.09,0,0.050,0.150,-0.150,0
CoRoT-16 b,1,0.061800,0.001500,-0.001500,0,13.110,1.790,-1.570,0,170.03200,27.01400,-26.37900,0,0.330000,0.090000,-0.100000,0,1.19,0.14,-0.13,0,1.10,0.08,-0.08,0,0.190,0.060,-0.060,0
CoRoT-17 b,1,0.046100,0.000800,-0.000800,0,11.430,0.780,-0.780,0,772.29000,95.34000,-95.34000,0,0.000000,,,0,1.59,0.07,-0.07,0,1.04,0.10,-0.10,0,0.000,0.100,-0.100,0
CoRoT-18 b,1,0.029500,0.001600,-0.001600,0,14.680,2.020,-2.020,0,1102.82000,120.77000,-120.77000,0,0.080000,,,1,1.00,0.13,-0.13,0,0.95,0.15,-0.15,0,-0.100,0.100,-0.100,0
CoRoT-19 b,1,0.051800,0.000800,-0.000800,0,14.460,0.340,-0.340,0,352.78000,19.07000,-19.07000,0,0.047000,0.045000,-0.045000,0,1.65,0.04,-0.04,0,1.21,0.05,-0.05,0,-0.020,0.100,-0.100,0
CoRoT-2 b,2,0.027980,0.000760,-0.000800,0,16.432,0.471,-0.493,0,1102.82000,69.92000,-69.92000,0,0.014300,0.007700,-0.007600,0,0.91,0.03,-0.03,0,0.96,0.08,-0.08,0,0.040,0.050,-0.050,0
CoRoT-20 b,1,0.090000,0.002000,-0.002000,0,9.416,0.448,-0.448,0,1366.66900,63.56600,-63.56600,0,0.590000,0.020000,-0.020000,0,1.02,0.05,-0.05,0,1.14,0.08,-0.08,0,0.140,0.120,-0.120,0
CoRoT-20 c,1,2.900000,0.070000,-0.070000,0,12.200,,,0,5403.11000,317.83000,-317.83000,0,0.600000,0.030000,-0.030000,0,1.37,0.03,-0.04,0,1.14,0.08,-0.08,0,0.140,0.120,-0.120,0
CoRoT-21 b,1,0.041700,0.001100,-0.001100,0,14.572,1.569,-1.569,0,718.29580,98.52730,-98.52730,0,0.000000,,,0,1.95,0.21,-0.21,0,1.29,0.09,-0.09,0,0.000,0.100,-0.100,0
CoRoT-22 b,1,0.092000,0.001400,-0.001400,0,4.880,0.170,-0.390,0,12.20000,14.00000,-8.80000,0,0.077000,0.300000,-0.042000,0,1.14,0.04,-0.09,0,1.10,0.05,-0.05,0,0.170,0.070,-0.120,0
CoRoT-23 b,1,0.048000,0.004000,-0.004000,0,11.770,1.460,-1.460,0,889.90000,95.30000,-95.30000,0,0.160000,0.020000,-0.020000,0,1.61,0.18,-0.18,0,1.14,0.08,-0.08,0,0.050,0.100,-0.100,0
CoRoT-24 b,1,0.056000,0.002000,-0.002000,0,3.700,0.400,-0.400,0,5.70000,,,1,0.000000,,,0,0.86,0.09,-0.09,0,0.91,0.09,-0.09,0,0.300,0.150,-0.150,0
CoRoT-24 c,1,0.098000,0.003000,-0.003000,0,5.000,0.500,-0.500,0,28.00000,11.00000,-11.00000,0,0.000000,,,0,0.86,0.09,-0.09,0,0.91,0.09,-0.09,0,0.300,0.150,-0.150,0
CoRoT-25 b,1,0.057800,0.002000,-0.000900,0,12.110,3.400,-1.120,0,85.81000,12.71000,-12.71000,0,0.000000,,,0,1.19,0.14,-0.03,0,1.09,0.11,-0.05,0,-0.010,0.130,-0.130,0
CoRoT-26 b,1,0.052600,0.001000,-0.001000,0,14.120,1.460,-0.780,0,165.26000,15.89000,-15.89000,0,0.000000,,,0,1.79,0.18,-0.09,0,1.09,0.06,-0.06,0,0.010,0.130,-0.130,0
CoRoT-27 b,1,0.047600,0.006600,-0.006600,0,11.287,0.493,-0.493,0,3302.11000,174.80000,-174.80000,0,0.065000,,,1,1.08,0.18,-0.06,0,1.05,0.11,-0.11,0,-0.100,0.100,-0.100,0
CoRoT-28 b,1,0.060300,0.005000,-0.005000,0,10.705,0.740,-0.740,0,153.82972,27.65121,-27.65121,0,0.047000,0.055000,-0.038000,0,1.78,0.11,-0.11,0,1.01,0.14,-0.14,0,0.150,0.100,-0.100,0
